Return As of 03-Jul-24,Unnamed: 1
Inception,7.46
,
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct Plan,
1 Day,9.9
7 Days,6.61
14 Days,6.18
30 Days,6.29
90 Days,6.83
180 Days,7.17
Inception,5.48
,
Aditya Birla Sun Life Savings Fund - Direct Plan,
1 Day,9.69
7 Days,10.09
14 Days,8.44
30 Days,7.72
90 Days,7.54
180 Days,7.96
Inception,7.73
,
Aditya Birla Sun Life Short Term Fund - Direct Plan,
1 Day,13.8
7 Days,8.58
14 Days,7.42
30 Days,7.06
90 Days,7.86
180 Days,8.31
Inception,8.61
,
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Direct Plan,
1 Day,38.78
7 Days,3.78
14 Days,6.86
30 Days,12.42
90 Days,4.88
180 Days,3.39
Inception,5.43
,
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Direct Plan,
1 Day,152.99
7 Days,-2.67
14 Days,-5.87
30 Days,14.58
90 Days,5.63
180 Days,0.76
Inception,8.06
,
Value Research,
,
# Return as on :02-July-2024,
