Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count,Ret 10 Yr,Rank/Count
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,Hybrid: Multi Asset Allocation,Open-ended,12.99,19 ( 30 ) ,27.22,14 ( 27 ) ,21.23,14 ( 22 ) ,14.16,12 ( 20 ) ,14.37,8 ( 12 ) ,11.25,3 ( 7 ) 
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan,Equity: Flexi Cap,Open-ended,18.08,57 ( 83 ) ,37.7,47 ( 77 ) ,30.65,44 ( 68 ) ,17.84,45 ( 59 ) ,19.04,22 ( 47 ) ,15.84,15 ( 31 ) 
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,Equity: Flexi Cap,Open-ended,17.6,62 ( 83 ) ,36.58,50 ( 77 ) ,29.57,44 ( 68 ) ,16.85,45 ( 59 ) ,18.04,22 ( 47 ) ,14.78,14 ( 31 ) 
Aditya Birla Sun Life Focused Fund - Direct Plan,Equity: Flexi Cap,Open-ended,19.74,37 ( 83 ) ,37.36,51 ( 77 ) ,29.02,52 ( 68 ) ,18.69,39 ( 59 ) ,18.02,33 ( 47 ) ,14.7,22 ( 31 ) 
Aditya Birla Sun Life Focused Fund - Regular Plan,Equity: Flexi Cap,Open-ended,19.17,36 ( 83 ) ,36.04,52 ( 77 ) ,27.76,52 ( 68 ) ,17.57,39 ( 59 ) ,16.93,30 ( 47 ) ,13.57,24 ( 31 ) 
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,Equity: Large Cap,Open-ended,17.81,47 ( 156 ) ,33.78,53 ( 150 ) ,28.99,43 ( 130 ) ,19.06,29 ( 108 ) ,17.87,20 ( 91 ) ,14.58,13 ( 56 ) 
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,Equity: Large Cap,Open-ended,17.42,65 ( 156 ) ,32.89,76 ( 150 ) ,28.12,58 ( 130 ) ,18.26,39 ( 108 ) ,17.09,29 ( 91 ) ,13.66,13 ( 56 ) 
Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct Plan #,Equity: International,Open-ended,17.73,-,24.8,-,17.11,-,6.48,-,14.8,-,5.67,-
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan #,Equity: International,Open-ended,17.38,-,24.06,-,16.51,-,5.94,-,14.22,-,5.31,-
Aditya Birla Sun Life Global Excellence Equity FoF - Direct Plan #,Equity: International,Open-ended,20,-,31.54,-,29.3,-,12.04,-,10.95,-,7.41,-
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan #,Equity: International,Open-ended,19.61,-,30.72,-,28.54,-,11.4,-,10.36,-,6.88,-
Aditya Birla Sun Life India GenNext Fund - Direct Plan,Equity: Thematic-Consumption,Open-ended,16.58,9 ( 19 ) ,34.01,11 ( 16 ) ,29.66,10 ( 15 ) ,20.82,9 ( 12 ) ,21.12,7 ( 12 ) ,18.79,3 ( 8 ) 
Aditya Birla Sun Life India GenNext Fund - Regular Plan,Equity: Thematic-Consumption,Open-ended,15.94,14 ( 19 ) ,32.57,16 ( 16 ) ,28.19,14 ( 15 ) ,19.45,10 ( 12 ) ,19.72,7 ( 12 ) ,17.48,4 ( 8 ) 
Aditya Birla Sun Life Infrastructure Fund - Direct Plan,Equity: Sectoral-Infrastructure,Open-ended,31.02,15 ( 21 ) ,63.76,18 ( 21 ) ,54.4,12 ( 20 ) ,31.35,16 ( 20 ) ,25.64,15 ( 20 ) ,16.41,17 ( 20 ) 
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,Equity: Sectoral-Infrastructure,Open-ended,30.43,15 ( 21 ) ,62.29,18 ( 21 ) ,53.1,12 ( 20 ) ,30.25,16 ( 20 ) ,24.63,15 ( 20 ) ,15.49,17 ( 20 ) 
Aditya Birla Sun Life International Equity Fund - Direct Plan,Equity: International,Open-ended,3.2,47 ( 63 ) ,5.2,45 ( 62 ) ,10.32,38 ( 59 ) ,3.06,25 ( 43 ) ,9.67,14 ( 30 ) ,8.31,8 ( 25 ) 
Aditya Birla Sun Life International Equity Fund - Regular Plan,Equity: International,Open-ended,2.9,51 ( 63 ) ,4.52,49 ( 62 ) ,9.53,42 ( 59 ) ,2.3,26 ( 43 ) ,8.87,15 ( 30 ) ,7.64,9 ( 25 ) 
Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan,Equity: Thematic,Open-ended,25.37,29 ( 76 ) ,52.7,20 ( 61 ) ,36.99,16 ( 42 ) ,19.49,15 ( 27 ) ,21.41,12 ( 18 ) ,-,-
