Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count
Aditya Birla Sun Life Fixed Term Plan - Series UB (1224 Days) - Direct Plan,Debt: Fixed Maturity,Closed-end,3.67,77 ( 79 ) ,7.27,56 ( 78 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Fixed Term Plan - Series UB (1224 Days) - Regular Plan,Debt: Fixed Maturity,Closed-end,3.62,73 ( 79 ) ,7.17,48 ( 78 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Fixed Term Plan - Series UJ (1110 Days) - Direct Plan,Debt: Fixed Maturity,Closed-end,3.63,79 ( 79 ) ,7.31,51 ( 78 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Fixed Term Plan - Series UJ (1110 Days) - Regular Plan,Debt: Fixed Maturity,Closed-end,3.58,76 ( 79 ) ,7.2,42 ( 78 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,Debt: Floater,Open-ended,4.05,8 ( 13 ) ,7.9,9 ( 13 ) ,7.53,8 ( 12 ) ,6.33,4 ( 10 ) ,6.77,5 ( 7 ) 
Aditya Birla Sun Life Floating Rate Fund - Regular Plan,Debt: Floater,Open-ended,3.93,8 ( 13 ) ,7.65,8 ( 13 ) ,7.29,7 ( 12 ) ,6.09,2 ( 10 ) ,6.55,5 ( 7 ) 
Aditya Birla Sun Life Floating Rate Fund - Retail Plan,Debt: Floater,Open-ended,3.93,-,7.65,-,7.29,-,6.09,-,6.55,-
Aditya Birla Sun Life Gold ETF,Commodities: Gold,Open-ended,13.97,12 ( 29 ) ,23.36,9 ( 26 ) ,16.07,18 ( 21 ) ,14.01,9 ( 21 ) ,14.87,6 ( 21 ) 
Aditya Birla Sun Life Gold Fund - Direct Plan,Commodities: Gold,Open-ended,13.61,13 ( 29 ) ,22.68,13 ( 26 ) ,17.24,4 ( 21 ) ,13.97,7 ( 21 ) ,15.05,7 ( 21 ) 
Aditya Birla Sun Life Gold Fund - Regular Plan,Commodities: Gold,Open-ended,13.41,26 ( 29 ) ,22.24,26 ( 26 ) ,16.81,8 ( 21 ) ,13.55,20 ( 21 ) ,14.62,17 ( 21 ) 
Aditya Birla Sun Life Government Securities Fund - Direct Plan,Debt: Gilt,Open-ended,5.78,7 ( 31 ) ,8.9,9 ( 31 ) ,8.4,10 ( 28 ) ,6.24,11 ( 26 ) ,7.32,9 ( 24 ) 
Aditya Birla Sun Life Government Securities Fund - Regular Plan,Debt: Gilt,Open-ended,5.44,6 ( 31 ) ,8.2,6 ( 31 ) ,7.7,12 ( 28 ) ,5.55,9 ( 26 ) ,6.65,7 ( 24 ) 
Aditya Birla Sun Life Income Fund - Direct Plan,Debt: Medium to Long Duration,Open-ended,4.72,8 ( 13 ) ,7.4,11 ( 13 ) ,7.57,8 ( 13 ) ,5.82,7 ( 13 ) ,7.19,4 ( 13 ) 
Aditya Birla Sun Life Income Fund - Regular Plan,Debt: Medium to Long Duration,Open-ended,4.48,5 ( 13 ) ,6.93,7 ( 13 ) ,7.11,8 ( 13 ) ,5.36,6 ( 13 ) ,6.68,4 ( 13 ) 
Aditya Birla Sun Life Interval Income Quarterly Series I - Direct Plan,Debt: Fixed Maturity,Open-ended,3.77,1 ( 12 ) ,7.53,1 ( 12 ) ,7.14,1 ( 12 ) ,6.19,2 ( 12 ) ,5.33,4 ( 12 ) 
Aditya Birla Sun Life Interval Income Quarterly Series I - Regular Plan,Debt: Fixed Maturity,Open-ended,3.73,2 ( 12 ) ,7.46,1 ( 12 ) ,7.06,1 ( 12 ) ,6.07,2 ( 12 ) ,5.3,3 ( 12 ) 
Aditya Birla Sun Life Interval Income Quarterly Series I Inst,Debt: Fixed Maturity,Open-ended,3.73,-,9.33,-,8.89,-,7.28,-,6.02,-
Aditya Birla Sun Life Liquid Fund - Direct Plan,Debt: Liquid,Open-ended,3.75,2 ( 43 ) ,7.43,3 ( 39 ) ,7.01,1 ( 38 ) ,5.9,1 ( 38 ) ,5.34,4 ( 37 ) 
Aditya Birla Sun Life Liquid Fund - Institutional Plan,Debt: Liquid,Open-ended,3.68,-,7.3,-,6.88,-,5.77,-,5.23,-
Aditya Birla Sun Life Liquid Fund - Regular Plan,Debt: Liquid,Open-ended,3.68,9 ( 43 ) ,7.3,10 ( 39 ) ,6.88,5 ( 38 ) ,5.77,6 ( 38 ) ,5.23,5 ( 37 ) 
Aditya Birla Sun Life Liquid Fund - Retail Plan,Debt: Liquid,Open-ended,3.68,-,7.3,-,6.88,-,5.77,-,5.23,-
Aditya Birla Sun Life Long Duration Fund - Direct Plan,Debt: Long Duration,Open-ended,6.64,6 ( 7 ) ,8.89,6 ( 7 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Long Duration Fund - Regular Plan,Debt: Long Duration,Open-ended,6.3,6 ( 7 ) ,8.19,6 ( 7 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Low Duration Fund - Direct Plan,Debt: Low Duration,Open-ended,3.95,6 ( 20 ) ,7.72,4 ( 20 ) ,7.43,4 ( 20 ) ,6.31,3 ( 20 ) ,6.85,3 ( 20 ) 
Aditya Birla Sun Life Low Duration Fund - Institutional Plan,Debt: Low Duration,Open-ended,3.53,-,6.85,-,6.56,-,5.45,-,5.98,-
Aditya Birla Sun Life Low Duration Fund - Regular Plan,Debt: Low Duration,Open-ended,3.53,16 ( 20 ) ,6.85,17 ( 20 ) ,6.56,13 ( 20 ) ,5.45,13 ( 20 ) ,5.98,10 ( 20 ) 
Aditya Birla Sun Life Medium Term Plan - Direct Plan,Debt: Medium Duration,Open-ended,4.79,2 ( 16 ) ,8.13,3 ( 16 ) ,16.16,1 ( 16 ) ,13.44,1 ( 15 ) ,9.54,1 ( 14 ) 
Aditya Birla Sun Life Medium Term Plan - Regular Plan,Debt: Medium Duration,Open-ended,4.41,2 ( 16 ) ,7.35,3 ( 16 ) ,15.34,1 ( 16 ) ,12.64,1 ( 15 ) ,8.8,1 ( 14 ) 
Aditya Birla Sun Life Money Manager Fund - Direct Plan,Debt: Money Market,Open-ended,3.98,2 ( 23 ) ,7.74,2 ( 22 ) ,7.36,2 ( 20 ) ,6.19,3 ( 18 ) ,6.23,2 ( 15 ) 
Aditya Birla Sun Life Money Manager Fund - Regular Plan,Debt: Money Market,Open-ended,3.91,1 ( 23 ) ,7.6,1 ( 22 ) ,7.23,1 ( 20 ) ,6.06,2 ( 18 ) ,6.1,1 ( 15 ) 
Aditya Birla Sun Life Money Manager Fund - Retail Plan,Debt: Money Market,Open-ended,3.91,-,7.6,-,7.23,-,6.06,-,6.1,-
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Direct Plan,Debt: Target Maturity,Open-ended,4.13,42 ( 97 ) ,7.37,54 ( 95 ) ,7.63,10 ( 33 ) ,-,-,-,-
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Regular Plan,Debt: Target Maturity,Open-ended,3.97,54 ( 97 ) ,7.03,84 ( 95 ) ,7.27,17 ( 33 ) ,-,-,-,-
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct Plan,Debt: Target Maturity,Open-ended,3.93,64 ( 97 ) ,7.25,69 ( 95 ) ,7.29,18 ( 33 ) ,-,-,-,-
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Regular Plan,Debt: Target Maturity,Open-ended,3.85,69 ( 97 ) ,7.08,73 ( 95 ) ,7.12,22 ( 33 ) ,-,-,-,-
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,Debt: Target Maturity,Open-ended,3.84,70 ( 97 ) ,7.29,64 ( 95 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Regular Plan,Debt: Target Maturity,Open-ended,3.74,79 ( 97 ) ,7.1,70 ( 95 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,Debt: Target Maturity,Open-ended,4.29,33 ( 97 ) ,7.63,19 ( 95 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Regular Plan,Debt: Target Maturity,Open-ended,4.2,35 ( 97 ) ,7.38,27 ( 95 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Overnight Fund - Direct Plan,Debt: Overnight,Open-ended,3.33,11 ( 36 ) ,6.82,13 ( 33 ) ,6.47,9 ( 28 ) ,5.48,8 ( 27 ) ,4.8,6 ( 16 ) 
Aditya Birla Sun Life Overnight Fund - Regular Plan,Debt: Overnight,Open-ended,3.27,20 ( 36 ) ,6.7,21 ( 33 ) ,6.36,14 ( 28 ) ,5.36,17 ( 27 ) ,4.68,11 ( 16 ) 
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct Plan,Debt: Corporate Bond,Open-ended,3.58,21 ( 22 ) ,6.61,22 ( 22 ) ,6.56,21 ( 21 ) ,4.96,19 ( 20 ) ,5.32,19 ( 19 ) 
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Regular Plan,Debt: Corporate Bond,Open-ended,3.01,22 ( 22 ) ,5.39,22 ( 22 ) ,5.3,21 ( 21 ) ,3.67,20 ( 20 ) ,3.95,19 ( 19 ) 
Aditya Birla Sun Life Savings Fund - Direct Plan,Debt: Ultra Short Duration,Open-ended,3.97,2 ( 24 ) ,7.71,2 ( 24 ) ,7.22,5 ( 24 ) ,6.15,5 ( 24 ) ,6.34,4 ( 19 ) 
Aditya Birla Sun Life Savings Fund - Regular Plan,Debt: Ultra Short Duration,Open-ended,3.86,1 ( 24 ) ,7.49,1 ( 24 ) ,7.01,2 ( 24 ) ,5.95,3 ( 24 ) ,6.17,2 ( 19 ) 
Aditya Birla Sun Life Savings Fund - Retail Plan,Debt: Ultra Short Duration,Open-ended,3.86,-,7.49,-,7.01,-,5.95,-,6.17,-
Aditya Birla Sun Life Short Term Fund - Direct Plan,Debt: Short Duration,Open-ended,4.14,1 ( 25 ) ,7.79,3 ( 25 ) ,7.72,3 ( 23 ) ,6.43,5 ( 22 ) ,7.49,4 ( 21 ) 
Aditya Birla Sun Life Short Term Fund - Regular Plan,Debt: Short Duration,Open-ended,3.82,4 ( 25 ) ,7.08,3 ( 25 ) ,6.99,4 ( 23 ) ,5.69,5 ( 22 ) ,6.75,5 ( 21 ) 
Aditya Birla Sun Life Silver ETF,Commodities: Silver,Open-ended,22.51,5 ( 17 ) ,27.81,7 ( 16 ) ,24.42,1 ( 6 ) ,-,-,-,-
Aditya Birla Sun Life Silver ETF FoF - Direct Plan,Commodities: Silver,Open-ended,21.6,6 ( 17 ) ,27.03,6 ( 16 ) ,22.53,1 ( 6 ) ,-,-,-,-
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,Commodities: Silver,Open-ended,21.32,16 ( 17 ) ,26.43,15 ( 16 ) ,21.89,5 ( 6 ) ,-,-,-,-
