Daily NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,11.3542,11.3483,0.05
Nifty SDL Sep 2025 Index,1139.75,1139.13,0.05
,,,
CRISIL IBX Gilt - April 2026 Index,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Direct Plan,11.3512,11.3477,0.03
CRISIL IBX Gilt Index - April 2026,-,-,-
,,,
CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,11.4617,11.4506,0.1
CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,-,1153.4,-
,,,
CRISIL IBX Gilt Apr 2029 Index Fund,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Direct Plan,11.5026,11.4889,0.12
CRISIL IBX Gilt Index - April 2029,-,-,-
,,,
CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,11.1541,11.1511,0.03
CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,-,-,-
,,,
NIFTY SDL Sep 2027 Index,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,11.1126,11.108,0.04
Nifty SDL Sep 2027 Index,1150.65,1150.55,0.01
,,,
CRISIL IBX Gilt Apr 2028 Index,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Direct Plan,10.9759,10.9721,0.03
CRISIL IBX Gilt Index - April 2028,-,1212.71,-
,,,
Multi Index FoF,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Multi - Index FoF - Regular Plan,15.0044,14.9029,0.68
ICICI Prudential Passive Multi-Asset FoF,13.3785,13.2963,0.62
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,16.1042,16.0043,0.62
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,14.3161,14.2408,0.53
,,,
Multi Asset Allocation,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Multi Asset Allocation Fund - Regular Plan,13.6334,13.5632,0.52
Axis Multi Asset Allocation Fund - Regular Plan,37.4406,37.2273,0.57
Bank of India Multi Asset Allocation Fund - Regular Plan,10.9367,10.8748,0.57
Baroda BNP Paribas Multi Asset Fund - Regular Plan,14.1771,14.1177,0.42
HDFC Multi Asset Fund,65.889,65.59,0.46
ICICI Prudential Multi Asset Fund,685.7207,682.0231,0.54
Kotak Multi Asset Allocation Fund - Regular Plan,12.764,12.656,0.85
Nippon India Multi Asset Fund - Regular Plan,19.6795,19.5467,0.68
Tata Multi Asset Opportunities Fund - Regular Plan,22.2697,22.138,0.59
UTI Multi Asset Allocation Fund - Regular Plan,69.4447,69.1962,0.36
,,,
CRISIL IBX AAA Index – March 2024,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
CRISIL IBX AAA Index - March 2024,-,-,-
,,,
CRISIL IBX SDL Index – June 2032,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan,11.2438,11.2366,0.06
CRISIL IBX SDL Index - June 2032,-,-,-
,,,
Nasdaq 100 FOFs,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life NASDAQ 100 FOF - Regular Plan,13.6672,13.5216,1.08
Axis NASDAQ 100 FoF - Regular Plan,17.8044,17.62,1.05
Kotak Nasdaq 100 FOF - Regular Plan,16.8339,16.6556,1.07
Motilal Oswal Nasdaq 100 FOF - Regular Plan,34.2004,33.9206,0.82
Navi NASDAQ 100 FoF - Regular Plan,14.9324,14.8051,0.86
Nasdaq 100 Total Return Index,-,-,-
Nasdaq 100 Index,-,-,-
,,,
Liquid ETF,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,1000,1000,0.02
DSP NIFTY 1D Rate Liquid ETF,1000,1000,0.02
ICICI Prudential BSE Liquid Rate ETF,1000,1000,0.02
Kotak Nifty 1D Rate Liquid ETF,1000,1000,0.02
Mirae Asset Nifty 1D Rate Liquid ETF,1000,1000,0.02
Nippon India ETF Nifty 1D Rate Liquid BeES,1000,1000,0.02
,,,
US Treasury,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Direct Plan,10.3651,10.3541,0.11
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Direct Plan,10.5416,10.4976,0.42
Axis US Treasury Dynamic Bond ETF FoF - Direct Plan,9.9474,9.8792,0.69
Bandhan US Treasury Bond 0-1 year FoF - Direct Plan,10.7836,10.7787,0.05
DSP US Treasury FoF - Direct Plan,10.186,10.1278,0.57
,,,
Transportation & Logistics,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Transportation and Logistics Fund - Regular Plan,14.57,14.53,0.28
Bandhan Transportation and Logistics Fund - Regular Plan,18.485,18.471,0.08
HDFC Transportation and Logistics Fund - Regular Plan,16.037,15.981,0.35
ICICI Prudential Transportation and Logistics Fund,18.46,18.4,0.33
UTI Transportation and Logistics Fund - Regular Plan,272.0923,271.2295,0.32
Nifty Transportation & Logistics Total Return Index,31085.93,30967.28,0.38
Nifty Transportation & Logistics Index,-,-,-
