Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Returns(%),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Scheme Name,Category,Issue Open,AAUM (Rs Cr),YTD,1 Day,7 Days,14 Days,30 Days,60 Days,90 Days,180 Days,270 Days
Open-ended,,,,,,,,,,,,
Navi Nifty 50 ETF,Equity: Large Cap,2023-09-11 00:00:00,6.63,12.45,0.66,1.74,3.29,4.53,8.52,8.72,13.55,25.27
Navi Nifty IT Index Fund - Regular Plan,Equity: Sectoral-Technology,2024-03-11 00:00:00,7.43,-,0.04,5.34,6.78,14.64,14.13,6.99,-,-
Nippon India Innovation Fund - Regular Plan,Equity: Thematic,2023-08-09 00:00:00,1560.73,25.98,0.83,1.42,2.49,9.66,14.63,17.88,26.84,39.96
Nippon India Nifty Bank Index Fund - Regular Plan,Equity: Sectoral-Banking,2024-02-05 00:00:00,105.61,-,1.75,0.45,3.33,4.15,8.99,11.87,-,-
Nippon India Nifty IT Index Fund - Regular Plan,Equity: Sectoral-Technology,2024-02-05 00:00:00,106.55,-,0.04,5.32,6.74,14.62,14.13,7.11,-,-
NJ Flexi Cap Fund - Regular Plan,Equity: Flexi Cap,2023-08-15 00:00:00,1249.88,20.6,0.97,4.67,4.29,7.13,10.2,10.12,21.4,44.64
Old Bridge Focused Equity Fund - Regular Plan,Equity: Flexi Cap,2024-01-17 00:00:00,375.72,-,0.62,1.88,3.07,8.06,9.09,11.11,-,-
PGIM India Large and Mid Cap Fund - Regular Plan,Equity: Large & MidCap,2024-01-24 00:00:00,398.28,-,0.69,1.91,2.89,6.83,9.63,11.4,-,-
PGIM India Retirement Fund - Regular Plan,Equity: Multi Cap,2024-03-26 00:00:00,52.51,-,0.63,1.9,2.83,7.85,9.81,-,-,-
Quant Commodities Fund - Regular Plan,Equity: Thematic,2023-12-08 00:00:00,368.13,32.83,0.79,2.04,2.73,2.64,6.97,11.89,34.53,-
Quant Consumption Fund - Regular Plan,Equity: Thematic-Consumption,2024-01-05 00:00:00,262.37,-,0.19,2.35,1.15,5.23,6.57,5.22,-,-
Quant Healthcare Fund - Regular Plan,Equity: Sectoral-Pharma,2023-06-27 00:00:00,286.83,22.71,0.19,1.02,0.62,6.19,8.43,10.37,19,38.97
Quant Manufacturing Fund - Regular Plan,Equity: Thematic,2023-07-26 00:00:00,786.81,33.76,0.84,2.17,2.46,4.72,11.46,14.61,33.33,54.27
Quant Momentum Fund - Regular Plan,Equity: Thematic,2023-10-30 00:00:00,1920.46,38.74,0.47,2.14,2.33,4.06,8.27,13.65,36.88,-
Quant PSU Fund - Regular Plan,Equity: Thematic-PSU,2024-02-02 00:00:00,883.95,-,1.91,1.83,0.09,-2.75,7.32,13.79,-,-
Quant Teck Fund - Regular Plan,Equity: Sectoral-Technology,2023-08-22 00:00:00,355.97,22.72,0.76,2.55,3.8,12.75,11.91,10.7,22.94,34.02
Quantum Small Cap Fund - Regular Plan,Equity: Small Cap,2023-10-16 00:00:00,52.07,13.78,0.59,2.31,2.75,9.22,9.62,12.18,13.14,-
Samco Special Opportunities Fund - Regular Plan,Equity: Thematic,2024-05-17 00:00:00,-,-,0.88,0.58,0.19,-,-,-,-,-
SBI Automotive Opportunities Fund - Regular Plan,Equity: Thematic,2024-05-17 00:00:00,-,-,0.17,0.87,-0.04,-,-,-,-,-
SBI Energy Opportunities Fund - Regular Plan,Equity: Thematic-Energy,2024-02-06 00:00:00,8833.32,-,0.62,3.03,4.19,1.12,6.06,9.88,-,-
SBI Nifty50 Equal Weight Index Fund - Regular Plan,Equity: Large Cap,2024-01-16 00:00:00,954.55,-,0.66,1.86,2.19,4.12,7.5,7.63,-,-
Sundaram Business Cycle Fund - Regular Plan,Equity: Thematic,2024-06-05 00:00:00,-,-,0.02,0.03,-,-,-,-,-,-
Tata Nifty Auto Index Fund - Regular Plan,Equity: Thematic,2024-04-08 00:00:00,51.73,-,0.2,0.64,-0.81,4.99,11.6,-,-,-
Tata Nifty Financial Services Index Fund - Regular Plan,Equity: Sectoral-Banking,2024-04-08 00:00:00,34.81,-,1.77,1.38,4.25,5.68,10.04,-,-,-
Tata Nifty India Tourism Index Fund - Regular Plan,Equity: Thematic,2024-07-08 00:00:00,-,-,-,-,-,-,-,-,-,-
Tata Nifty MidSmall Healthcare Index Fund - Regular Plan,Equity: Sectoral-Pharma,2024-04-08 00:00:00,34,-,0.79,2.01,1.03,7.11,5.05,-,-,-
Tata Nifty Realty Index Fund - Regular Plan,Equity: Thematic,2024-04-08 00:00:00,40,-,0.33,1.25,-0.44,2.72,14.87,-,-,-
Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund - Regular Plan,Equity: Thematic,2024-04-08 00:00:00,86.32,-,0.54,1.45,2.07,5.57,10.99,-,-,-
Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund - Regular Plan,Equity: Sectoral-Infrastructure,2024-04-08 00:00:00,63.57,-,0.47,1.59,3.33,4.52,10.54,-,-,-
TRUSTMF Flexi Cap Fund - Regular Plan,Equity: Flexi Cap,2024-04-05 00:00:00,561.15,-,0.81,1.73,3.24,5.18,11.38,-,-,-
Union Business Cycle Fund - Regular Plan,Equity: Thematic,2024-02-13 00:00:00,485.07,-,0.79,2.04,3.41,3.5,10.44,12.93,-,-
Union Innovation & Opportunities Fund - Regular Plan,Equity: Thematic,2023-08-16 00:00:00,654.11,25.59,0.84,2.96,3.77,10.55,12.72,16.61,25.95,32.4
UTI Innovation Fund - Regular Plan,Equity: Thematic,2023-09-25 00:00:00,622.2,11.3,0.05,3.1,5.15,12.52,9.39,8.53,10.76,-
UTI Nifty IT ETF,Equity: Sectoral-Technology,2024-01-17 00:00:00,5.63,-,0.04,5.36,6.79,14.75,14.33,7.34,-,-
UTI Nifty Midcap 150 ETF,Equity: Mid Cap,2023-08-18 00:00:00,3.51,23.61,0.78,1.89,2.35,6.02,11.55,14.78,22.8,39.09
WhiteOak Capital Banking & Financial Services Fund - Regular Plan,Equity: Sectoral-Banking,2024-01-16 00:00:00,170.6,-,1.2,1.95,4.41,6.03,8.22,11.27,-,-
WhiteOak Capital Large & Mid Cap Fund - Regular Plan,Equity: Large & MidCap,2023-12-01 00:00:00,1172.31,20.63,0.79,1.79,2.58,5.74,10.21,12.35,21.11,-
WhiteOak Capital Multi Cap Fund - Regular Plan,Equity: Multi Cap,2023-08-31 00:00:00,918.58,20.15,0.75,1.89,2.98,6.8,9.87,12.58,20.48,35.59
WhiteOak Capital Pharma and Healthcare Fund - Regular Plan,Equity: Sectoral-Pharma,2024-01-16 00:00:00,111.39,-,0.88,1.65,1.42,6.92,4.9,6.81,-,-
WhiteOak Capital Special Opportunities Fund - Regular Plan,Equity: Thematic,2024-05-15 00:00:00,-,-,0.57,2.78,4.03,-,-,-,-,-
,,,,,,,,,,,,
Closed-ended,,,,,,,,,,,,
BSE Sensex Index,,,,10.72,0.69,1.67,3.43,4.6,8.27,8.27,12.09,22.09
NIFTY 50 Index,,,,11.76,0.67,1.75,3.28,4.4,8.06,8.25,12.87,24.36
